algorithm_name,deleted,deleted_size,exact_deleted_size,exact_solution,experiment,graph_size,initial_nodes,initial_size,meta_algo_name,meta_alpha,meta_flow_name,meta_graph_size,meta_seed,naive_deleted_size,naive_raw_cost,normalized_cost,raw_cost,recomputed,recomputed_size,relative_cost,relative_cost_naive,runtime_sec,source_file,weighted_cost
cluster_based,"['ann_32', 'ann_24', 'ann_26', 'ann_2', 'ann_16']",5,,,crowd_seed0_cluster_based,130,"['ann_24', 'ann_26', 'ann_2', 'ann_16', 'ann_32']",5,cluster_based,,crowd,130,0,5,10.0,0.07692307692307693,10.0,[],0,,1.0,0.00010429997928440571,experiments_real\crowd\cluster_based\crowd_seed0_cluster_based_summary.json,2.0
cluster_based,"['ann_7', 'w16', 'w4', 'w36', 'ann_36', 'ann_4', 'ann_8', 'ann_16']",8,,,crowd_seed1_cluster_based,130,"['ann_8', 'w36', 'w4', 'w16', 'ann_7']",5,cluster_based,,crowd,130,1,8,13.0,0.1,13.0,[],0,,1.0,0.0002133999951183796,experiments_real\crowd\cluster_based\crowd_seed1_cluster_based_summary.json,2.6
cluster_based,"['w5', 'ann_5', 'ann_23', 'ann_10', 'ann_3', 'w23']",6,,,crowd_seed2_cluster_based,130,"['ann_3', 'ann_5', 'w5', 'w23', 'ann_10']",5,cluster_based,,crowd,130,2,6,10.0,0.07692307692307693,10.0,[],0,,1.0,0.00021069985814392567,experiments_real\crowd\cluster_based\crowd_seed2_cluster_based_summary.json,2.0
cost_aware,"['ann_32', 'ann_24', 'ann_26', 'ann_2', 'ann_16']",5,,,crowd_seed0_cost_aware,130,"['ann_24', 'ann_26', 'ann_2', 'ann_16', 'ann_32']",5,cost_aware,0.5,crowd,130,0,5,10.0,0.07692307692307693,10.0,[],0,,1.0,0.00011570006608963013,experiments_real\crowd\cost_aware\crowd_seed0_cost_aware_summary.json,2.0
cost_aware,"['ann_7', 'ann_4', 'w16', 'ann_8', 'ann_36', 'ann_16', 'w4', 'w36']",8,,,crowd_seed1_cost_aware,130,"['ann_8', 'w36', 'w4', 'w16', 'ann_7']",5,cost_aware,0.5,crowd,130,1,8,13.0,0.1,13.0,[],0,,1.0,0.0003269000444561243,experiments_real\crowd\cost_aware\crowd_seed1_cost_aware_summary.json,2.6
cost_aware,"['w5', 'ann_5', 'ann_23', 'ann_10', 'ann_3', 'w23']",6,,,crowd_seed2_cost_aware,130,"['ann_3', 'ann_5', 'w5', 'w23', 'ann_10']",5,cost_aware,0.5,crowd,130,2,6,10.0,0.07692307692307693,10.0,[],0,,1.0,0.0006838999688625336,experiments_real\crowd\cost_aware\crowd_seed2_cost_aware_summary.json,2.0
greedy,"['ann_32', 'ann_24', 'ann_26', 'ann_2', 'ann_16']",5,,,crowd_seed0_greedy,130,"['ann_24', 'ann_26', 'ann_2', 'ann_16', 'ann_32']",5,greedy,,crowd,130,0,5,10.0,0.07692307692307693,10.0,[],0,,1.0,0.00011190003715455532,experiments_real\crowd\greedy\crowd_seed0_greedy_summary.json,2.0
greedy,"['ann_7', 'ann_4', 'w16', 'ann_8', 'ann_36', 'ann_16', 'w4', 'w36']",8,,,crowd_seed1_greedy,130,"['ann_8', 'w36', 'w4', 'w16', 'ann_7']",5,greedy,,crowd,130,1,8,13.0,0.1,13.0,[],0,,1.0,0.0001230000052601099,experiments_real\crowd\greedy\crowd_seed1_greedy_summary.json,2.6
greedy,"['w5', 'ann_5', 'ann_23', 'ann_10', 'ann_3', 'w23']",6,,,crowd_seed2_greedy,130,"['ann_3', 'ann_5', 'w5', 'w23', 'ann_10']",5,greedy,,crowd,130,2,6,10.0,0.07692307692307693,10.0,[],0,,1.0,0.00022320006974041462,experiments_real\crowd\greedy\crowd_seed2_greedy_summary.json,2.0
cluster_based,"['report_1', 'prep_raw_14', 'prep_raw_2', 'feat_prep_raw_6', 'prep_raw_12', 'feat_prep_raw_7', 'report_4', 'prep_raw_1', 'raw_2', 'raw_12', 'prep_raw_0', 'feat_prep_raw_3', 'prep_raw_19', 'prep_raw_5', 'raw_8', 'report_3', 'prep_raw_4', 'prep_raw_17', 'raw_11', 'raw_6', 'raw_16', 'prep_raw_7', 'raw_17', 'raw_9', 'ml_model_A_0', 'feat_prep_raw_5', 'feat_prep_raw_0', 'ml_model_B_2', 'emb_2', 'prep_raw_3', 'feat_prep_raw_16', 'ml_model_B_1', 'feat_prep_raw_14', 'prep_raw_16', 'raw_10', 'ml_model_A_1', 'report_0', 'prep_raw_11', 'feat_prep_raw_18', 'raw_15', 'emb_3', 'feat_prep_raw_13', 'feat_prep_raw_8', 'raw_3', 'prep_raw_15', 'feat_prep_raw_4', 'raw_18', 'feat_prep_raw_2', 'feat_prep_raw_11', 'feat_prep_raw_17', 'feat_prep_raw_9', 'prep_raw_10', 'raw_13', 'emb_0', 'feat_prep_raw_15', 'report_5', 'feat_prep_raw_10', 'prep_raw_8', 'raw_4', 'prep_raw_9', 'prep_raw_13', 'raw_5', 'ml_model_B_0', 'prep_raw_6', 'feat_prep_raw_19', 'raw_1', 'prep_raw_18', 'raw_7', 'report_2', 'raw_19', 'raw_0', 'emb_1', 'emb_4', 'feat_prep_raw_12', 'feat_prep_raw_1', 'ml_model_A_2', 'raw_14']",77,,,ml_seed0_cluster_based,77,"['raw_12', 'raw_13', 'raw_1', 'raw_8', 'raw_15']",5,cluster_based,,ml,77,0,32,695.0,11.558441558441558,890.0,[],0,,1.2805755395683454,4.840013571083546e-05,experiments_real\ml\cluster_based\ml_seed0_cluster_based_summary.json,178.0
